# N Tiempo E0
200 0.020491435000 1.085753611747
400 0.144427501000 1.086529630717
600 0.483366805000 1.086673968175
800 1.110062787000 1.086724573569
1000 2.171011473000 1.086748018644
1200 3.766244253000 1.086760761805
1400 6.057198745000 1.086768448680
1600 9.137129852000 1.086773439264
1800 13.001921898000 1.086776861579
2000 18.058760042000 1.086779309988
2200 23.993601935000 1.086781121794
2400 31.008368048000 1.086782500000
2600 39.583060845000 1.086783572666
2800 49.262052550000 1.086784423880
3000 60.522397505000 1.086785110630
3200 73.897149537000 1.086785672747
3400 88.464654227000 1.086786138625
3600 104.228953513000 1.086786529068
3800 122.635380333000 1.086786859497
4000 143.159554660000 1.086787141633
