# N Tiempo E0
1000 0.287272945000 1.086789776872
6000 1.706211505000 1.086789753915
11000 3.163838467000 1.086789753899
16000 4.532931239000 1.086789753898
21000 6.002604706000 1.086789753897
26000 7.429364453000 1.086789753897
31000 8.821848234000 1.086789753897
36000 10.241589130000 1.086789753897
41000 11.674797622000 1.086789753897
46000 13.087545906000 1.086789753897
51000 14.505258802000 1.086789753897
56000 15.900647148000 1.086789753897
61000 17.289122952000 1.086789753897
66000 18.791990873000 1.086789753897
71000 20.138998849000 1.086789753897
76000 21.621534070000 1.086789753897
81000 22.943890494000 1.086789753897
86000 24.437928661000 1.086789753897
91000 25.889221753000 1.086789753897
96000 27.236229600000 1.086789753897
