Hilos,Log2N,N,Tiempo_Total_Segundos
1,19,524288,23.558992955
2,19,524288,21.982143509
4,19,524288,20.319118028
8,19,524288,20.559192653
16,19,524288,20.617256849
24,19,524288,20.953079854
32,19,524288,24.462534322
40,19,524288,20.759567689
