Hilos,Log2N,N,Tiempo_Total_Segundos
1,19,524288,1319.639559154
2,19,524288,546.247849279
4,19,524288,285.422066844
8,19,524288,117.373316373
16,19,524288,95.874692819
24,19,524288,90.581385737
32,19,524288,84.097842026
40,19,524288,87.497836705
