# N(1) T(2) E0(3) E1(4) E2(5) E3(6)
20 0.020767000000 1.086784156990 3.072872707510 4.808963249224 6.294645626773
40 0.072816000000 1.086783988807 3.072851966798 4.808919943651 6.294987908083
60 0.167075000000 1.086783988750 3.072851966250 4.808919943749 6.294987921246
80 0.541816000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
100 0.706123000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
120 1.334565000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
140 1.510960000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
160 2.735819000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
180 1.958154000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
200 2.972807000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
220 2.448071000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
240 2.267408000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
260 3.491179000000 1.086783988750 3.072851966250 4.808919943750 6.294987921249
280 3.354280000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
300 6.525271000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
320 4.719540000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
340 6.096932000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
360 8.267255000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
380 6.857254000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
400 6.481300000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
420 11.099188000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
440 12.671321000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
460 8.950839000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
480 12.574585000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
500 21.150641000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
520 16.642237000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
540 11.249047000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
560 16.990683000000 1.086783988750 3.072851966249 4.808919943749 6.294987921249
580 9.084808000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
600 11.691957000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
620 15.892440000000 1.086783988750 3.072851966250 4.808919943750 6.294987921249
640 18.080572000000 1.086783988750 3.072851966250 4.808919943750 6.294987921249
660 23.563411000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
680 18.955108000000 1.086783988750 3.072851966250 4.808919943749 6.294987921249
700 23.080644000000 1.086783988750 2.739191518602 3.072851966249 4.808919943750
720 44.579649000000 -4.799502644682 1.086783988750 3.072851966250 4.808919943750
740 24.436647000000 -19.427643585638 1.086783988750 3.072851966250 4.808919943749
760 48.683602000000 -9.220112335520 -2.412628774845 0.866730340215 1.086783988749
780 43.943219000000 -74.543873139751 -42.594129377523 -13.712533428304 -10.443506473247
800 39.963737000000 -158.842790872153 -79.593749331594 -34.864143364690 -29.052024777007
820 28.463246000000 -415.639885629446 -273.954673858906 -179.929469450525 -152.417639726276
840 39.098498000000 -708.479258902020 -568.016025701892 -446.993188500649 -325.465908211661
860 32.605126000000 -1248.477497389748 -914.630600254877 -786.866647653491 -675.798587066413
880 39.221369000000 -4207.536609481868 -2711.679797151679 -1838.365283632762 -1525.049261032357
900 49.706501000000 -4939.243432673902 -4368.503318961899 -3005.001713307821 -2394.778162681191
920 67.262648000000 -7114.073932434425 -5865.579156158212 -5486.334743343850 -5203.308279406452
940 48.289410000000 -14757.736112818855 -11919.890939369479 -8693.604957803913 -8294.798572132579
960 54.947031000000 -22115.975688821814 -17326.073817569559 -15095.577635641648 -11452.247779080040
980 38.586214000000 -38129.264002290314 -24878.117673808021 -22335.611854285933 -19877.319484425578
1000 81.360133000000 -54968.938901453541 -50166.381990157839 -36690.827135833781 -31698.641256886240
