Hilos,Log2N,N,Tiempo_Total_Segundos
1,16,65536,54.443981744
2,16,65536,28.519996214
4,16,65536,15.215502738
8,16,65536,9.077126234
16,16,65536,5.998148228
24,16,65536,5.621036921
32,16,65536,6.841061301
40,16,65536,7.175877515
