      0.1000000    -19.9987793      9.0154063
      0.1000000    -19.9926758     54.0899462
      0.1000000    -19.9865723     99.1538119
      0.1000000    -19.9804688    144.1981252
      0.1000000    -19.9743652    189.2140355
      0.1000000    -19.9682617    234.1927364
      0.1000000    -19.9621582    279.1254734
      0.1000000    -19.9560547    324.0035637
      0.1000000    -19.9499512    368.8184005
      0.1000000    -19.9438477    413.5614753
      0.1000000    -19.9377441    458.2243789
      0.1000000    -19.9316406    502.7988264
      0.1000000    -19.9255371    547.2766547
      0.1000000    -19.9194336    591.6498498
      0.1000000    -19.9133301    635.9105410
      0.1000000    -19.9072266    680.0510299
      0.1000000    -19.9011230    724.0637819
      0.1000000    -19.8950195    767.9414567
      0.1000000    -19.8889160    811.6768966
      0.1000000    -19.8828125    855.2631584
      0.1000000    -19.8767090    898.6934989
      0.1000000    -19.8706055    941.9614083
      0.1000000    -19.8645020    985.0605919
      0.1000000    -19.8583984   1027.9850051
      0.1000000    -19.8522949   1070.7288327
      0.1000000    -19.8461914   1113.2865240
      0.1000000    -19.8400879   1155.6527695
      0.1000000    -19.8339844   1197.8225369
      0.1000000    -19.8278809   1239.7910453
      0.1000000    -19.8217773   1281.5538013
      0.1000000    -19.8156738   1323.1065708
      0.1000000    -19.8095703   1364.4454158
      0.1000000    -19.8034668   1405.5666637
      0.1000000    -19.7973633   1446.4669437
      0.1000000    -19.7912598   1487.1431548
      0.1000000    -19.7851562   1527.5925017
      0.1000000    -19.7790527   1567.8124613
      0.1000000    -19.7729492   1607.8008177
      0.1000000    -19.7668457   1647.5556277
      0.1000000    -19.7607422   1687.0752549
      0.1000000    -19.7546387   1726.3583341
      0.1000000    -19.7485352   1765.4038049
      0.1000000    -19.7424316   1804.2108747
      0.1000000    -19.7363281   1842.7790515
      0.1000000    -19.7302246   1881.1081063
      0.1000000    -19.7241211   1919.1981049
      0.1000000    -19.7180176   1957.0493696
      0.1000000    -19.7119141   1994.6625100
      0.1000000    -19.7058105   2032.0383845
      0.1000000    -19.6997070   2069.1781295
      0.1000000    -19.6936035   2106.0831215
      0.1000000    -19.6875000   2142.7550043
      0.1000000    -19.6813965   2179.1956518
      0.1000000    -19.6752930   2215.4071935
      0.1000000    -19.6691895   2251.3919779
      0.1000000    -19.6630859   2287.1525963
      0.1000000    -19.6569824   2322.6918473
      0.1000000    -19.6508789   2358.0127584
      0.1000000    -19.6447754   2393.1185518
      0.1000000    -19.6386719   2428.0126644
      0.1000000    -19.6325684   2462.6987145
      0.1000000    -19.6264648   2497.1805202
      0.1000000    -19.6203613   2531.4620673
      0.1000000    -19.6142578   2565.5475259
      0.1000000    -19.6081543   2599.4412202
      0.1000000    -19.6020508   2633.1476429
      0.1000000    -19.5959473   2666.6714267
      0.1000000    -19.5898438   2700.0173568
      0.1000000    -19.5837402   2733.1903446
      0.1000000    -19.5776367   2766.1954379
      0.1000000    -19.5715332   2799.0377967
      0.1000000    -19.5654297   2831.7227016
      0.1000000    -19.5593262   2864.2555316
      0.1000000    -19.5532227   2896.6417706
      0.1000000    -19.5471191   2928.8869872
      0.1000000    -19.5410156   2960.9968397
      0.1000000    -19.5349121   2992.9770578
      0.1000000    -19.5288086   3024.8334459
      0.1000000    -19.5227051   3056.5718669
      0.1000000    -19.5166016   3088.1982438
      0.1000000    -19.5104980   3119.7185460
      0.1000000    -19.5043945   3151.1387886
      0.1000000    -19.4982910   3182.4650213
      0.1000000    -19.4921875   3213.7033263
      0.1000000    -19.4860840   3244.8598087
      0.1000000    -19.4799805   3275.9405936
      0.1000000    -19.4738770   3306.9518180
      0.1000000    -19.4677734   3337.8996269
      0.1000000    -19.4616699   3368.7901668
      0.1000000    -19.4555664   3399.6295812
      0.1000000    -19.4494629   3430.4240051
      0.1000000    -19.4433594   3461.1795599
      0.1000000    -19.4372559   3491.9023499
      0.1000000    -19.4311523   3522.5984554
      0.1000000    -19.4250488   3553.2739315
      0.1000000    -19.4189453   3583.9348003
      0.1000000    -19.4128418   3614.5870508
      0.1000000    -19.4067383   3645.2366305
      0.1000000    -19.4006348   3675.8894471
      0.1000000    -19.3945312   3706.5513592
      0.1000000    -19.3884277   3737.2281787
      0.1000000    -19.3823242   3767.9256619
      0.1000000    -19.3762207   3798.6495129
      0.1000000    -19.3701172   3829.4053737
      0.1000000    -19.3640137   3860.1988289
      0.1000000    -19.3579102   3891.0353961
      0.1000000    -19.3518066   3921.9205307
      0.1000000    -19.3457031   3952.8596164
      0.1000000    -19.3395996   3983.8579710
      0.1000000    -19.3334961   4014.9208365
      0.1000000    -19.3273926   4046.0533858
      0.1000000    -19.3212891   4077.2607127
      0.1000000    -19.3151855   4108.5478394
      0.1000000    -19.3090820   4139.9197062
      0.1000000    -19.3029785   4171.3811795
      0.1000000    -19.2968750   4202.9370421
      0.1000000    -19.2907715   4234.5920013
      0.1000000    -19.2846680   4266.3506794
      0.1000000    -19.2785645   4298.2176220
      0.1000000    -19.2724609   4330.1972891
      0.1000000    -19.2663574   4362.2940633
      0.1000000    -19.2602539   4394.5122413
      0.1000000    -19.2541504   4426.8560424
      0.1000000    -19.2480469   4459.3296004
      0.1000000    -19.2419434   4491.9369718
      0.1000000    -19.2358398   4524.6821285
      0.1000000    -19.2297363   4557.5689658
      0.1000000    -19.2236328   4590.6012955
      0.1000000    -19.2175293   4623.7828540
      0.1000000    -19.2114258   4657.1172960
      0.1000000    -19.2053223   4690.6082020
      0.1000000    -19.1992188   4724.2590729
      0.1000000    -19.1931152   4758.0733372
      0.1000000    -19.1870117   4792.0543461
      0.1000000    -19.1809082   4826.2053805
      0.1000000    -19.1748047   4860.5296465
      0.1000000    -19.1687012   4895.0302824
      0.1000000    -19.1625977   4929.7103545
      0.1000000    -19.1564941   4964.5728637
